date,product,category,region,sales,quantity,price,profit,customer_age,rating
2024-01-05,Widget A,Electronics,North,1250.50,25,49.99,312.63,34,4.5
2024-01-08,Gadget B,Electronics,South,890.00,15,59.33,178.00,28,4.2
2024-01-12,Tool C,Hardware,East,450.75,30,15.03,135.23,45,3.8
2024-01-15,Widget A,Electronics,West,1580.00,32,49.38,474.00,29,4.7
2024-01-19,Supply D,Office,North,320.00,40,8.00,96.00,52,4.0
2024-01-22,Gadget B,Electronics,East,1120.50,19,58.97,336.15,33,4.3
2024-01-26,Tool C,Hardware,South,680.25,45,15.12,204.08,41,3.5
2024-01-30,Widget A,Electronics,North,1890.00,38,49.74,567.00,26,4.8
2024-02-02,Supply D,Office,West,280.00,35,8.00,84.00,48,3.9
2024-02-06,Gadget B,Electronics,North,975.00,16,60.94,292.50,31,4.1
2024-02-10,Tool C,Hardware,East,520.50,35,14.87,156.15,39,3.7
2024-02-14,Widget A,Electronics,South,2100.00,42,50.00,630.00,27,4.9
2024-02-18,Supply D,Office,East,410.00,51,8.04,123.00,55,4.2
2024-02-22,Gadget B,Electronics,West,1340.00,22,60.91,402.00,35,4.4
2024-02-25,Tool C,Hardware,North,390.00,26,15.00,117.00,43,3.6
2024-03-01,Widget A,Electronics,East,1750.00,35,50.00,525.00,30,4.6
2024-03-05,Supply D,Office,South,350.00,44,7.95,105.00,50,4.0
2024-03-09,Gadget B,Electronics,North,1450.00,24,60.42,435.00,32,4.5
2024-03-13,Tool C,Hardware,West,600.00,40,15.00,180.00,42,3.9
2024-03-17,Widget A,Electronics,South,2350.00,47,50.00,705.00,25,4.8
2024-03-20,Supply D,Office,North,290.00,36,8.06,87.00,53,3.8
2024-03-24,Gadget B,Electronics,East,1200.00,20,60.00,360.00,36,4.3
2024-03-28,Tool C,Hardware,South,550.00,37,14.86,165.00,44,3.7
2024-04-01,Widget A,Electronics,West,1980.00,40,49.50,594.00,28,4.7
2024-04-05,Supply D,Office,East,380.00,48,7.92,114.00,49,4.1
2024-04-09,Gadget B,Electronics,South,1560.00,26,60.00,468.00,34,4.6
2024-04-13,Tool C,Hardware,North,470.00,31,15.16,141.00,40,3.8
2024-04-17,Widget A,Electronics,East,2200.00,44,50.00,660.00,27,4.9
2024-04-20,Supply D,Office,West,310.00,39,7.95,93.00,51,3.9
2024-04-24,Gadget B,Electronics,North,1680.00,28,60.00,504.00,33,4.5
2024-04-28,Tool C,Hardware,East,620.00,41,15.12,186.00,38,3.6
2024-05-02,Widget A,Electronics,South,2450.00,49,50.00,735.00,26,4.8
2024-05-06,Supply D,Office,North,340.00,43,7.91,102.00,54,4.0
2024-05-10,Gadget B,Electronics,West,1380.00,23,60.00,414.00,30,4.4
2024-05-14,Tool C,Hardware,South,580.00,39,14.87,174.00,46,3.9
2024-05-18,Widget A,Electronics,North,2600.00,52,50.00,780.00,29,4.7
2024-05-22,Supply D,Office,East,420.00,53,7.92,126.00,47,4.2
2024-05-26,Gadget B,Electronics,South,1520.00,25,60.80,456.00,35,4.3
2024-05-30,Tool C,Hardware,West,510.00,34,15.00,153.00,41,3.5
2024-06-03,Widget A,Electronics,East,2150.00,43,50.00,645.00,31,4.6
2024-06-07,Supply D,Office,North,300.00,38,7.89,90.00,56,3.8
2024-06-11,Gadget B,Electronics,West,1750.00,29,60.34,525.00,32,4.7
2024-06-15,Tool C,Hardware,East,640.00,43,14.88,192.00,37,3.8
2024-06-19,Widget A,Electronics,South,2800.00,56,50.00,840.00,24,4.9
2024-06-23,Supply D,Office,South,360.00,45,8.00,108.00,50,4.1
2024-06-27,Gadget B,Electronics,North,1620.00,27,60.00,486.00,29,4.5
2024-07-01,Tool C,Hardware,North,530.00,35,15.14,159.00,43,3.7
2024-07-05,Widget A,Electronics,West,2950.00,59,50.00,885.00,27,4.8
2024-07-09,Supply D,Office,East,440.00,55,8.00,132.00,48,4.3
2024-07-13,Gadget B,Electronics,South,1850.00,31,59.68,555.00,36,4.6
